action_closedoors | Закрыть Все Двери
survey_type_colony | Колония
survey_type_derelict | Заброшенный объект
survey_type_nebula | Туманность
survey_type_storm | Шторм
survivalend_quitmessage | После долгого и опасного путешествия выжившие оказались в новой и неизведанной галактике.  Те, кто остался позади, столкнулись с отчаянной кочевой жизнью.  Но те, кто совершил прыжок, сталкиваются с еще более неопределенным будущим.  Выживание человечества остается на грани...
survivalend_quitmessage1 | Мы надеемся, что вам понравилось играть в демо-версию The Last Starship. Ваше путешествие только началось!  Разблокируйте полную версию игры, чтобы исследовать больше Сюжетных Эпизодов, Режим Выживания, Режим Арены, полный Редактор Кораблей и многое другое!
tactical_damaged | ПОВРЕЖДЕН
tactical_detach_all | ОТСТЫКОВАТЬ ВСЕ
tactical_docked | --- ПРИСТЫКОВАН ---
tactical_evasion | УКЛОНЕНИЕ
tactical_fire | ОГОНЬ
tactical_hold | УДЕРЖИВАТЬ
tactical_lowpower | НИЗКАЯ МОЩНОСТЬ
tactical_maneuvering | МАНЕВРИРОВАНИЕ
tactical_reloading | ПЕРЕЗАРЯДКА
tactical_throttle | СКОРОСТЬ
tactical_undock | ОТСТЫКОВАТЬСЯ
tactical_velocity | СКОРОСТЬ
tactical_weapons | ОРУЖИЕ
tagline | ПОСЛЕДНИЙ ЗВЕЗДОЛЕТ
techtree_accept | Начать Исследование
techtree_available | ДОСТУПНО
techtree_available_title | ДОСТУПНО ИССЛЕДОВАНИЕ
techtree_availablecredits | Доступно Чипов: *X
techtree_award_title | ИССЛЕДОВАНИЕ ЗАВЕРШЕНО
